submission_id,id,sha,path,size,blob,created_at,updated_at,comments_count
520772,28603406,3028ff8334eb87cd884788b6833eecc1561bcbfe,app/build/intermediates/res/merged/debug/values-v22/values-v22.xml,909,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/30/28/ff8334eb87cd884788b6833eecc1561bcbfe,2017-05-28T10:08:20.632Z,2017-05-28T10:08:20.632Z,0
520772,28603405,394a31e8f1472c8e040a4498f88d3c24686c31ee,app/build/intermediates/res/merged/debug/values-v21/values-v21.xml,20975,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/39/4a/31e8f1472c8e040a4498f88d3c24686c31ee,2017-05-28T10:08:20.589Z,2017-05-28T10:08:20.589Z,0
520772,28603404,1ea6d190385feccb59de4838f0344524214e6814,app/build/intermediates/res/merged/debug/values-v18/values-v18.xml,112,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/1e/a6/d190385feccb59de4838f0344524214e6814,2017-05-28T10:08:20.564Z,2017-05-28T10:08:20.564Z,0
520772,28603403,f970b6040fa82ba3d9020c8b490b9a392900330b,app/build/intermediates/res/merged/debug/values-v17/values-v17.xml,2934,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/f9/70/b6040fa82ba3d9020c8b490b9a392900330b,2017-05-28T10:08:20.543Z,2017-05-28T10:08:20.543Z,0
520772,28603402,55986c1cb0aa02467919a080cc23aa247685acaf,app/build/intermediates/res/merged/debug/values-v16/values-v16.xml,129,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/55/98/6c1cb0aa02467919a080cc23aa247685acaf,2017-05-28T10:08:20.517Z,2017-05-28T10:08:20.517Z,0
520772,28603401,362bb61aac44dad78e255fedb78945d80144c597,app/build/intermediates/res/merged/debug/values-v14/values-v14.xml,2109,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/36/2b/b61aac44dad78e255fedb78945d80144c597,2017-05-28T10:08:20.492Z,2017-05-28T10:08:20.492Z,0
520772,28603400,3883b1cc2024e5efc27eaf971325bb0500f14781,app/build/intermediates/res/merged/debug/values-v13/values-v13.xml,122,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/38/83/b1cc2024e5efc27eaf971325bb0500f14781,2017-05-28T10:08:20.458Z,2017-05-28T10:08:20.458Z,0
520772,28603399,342785b90a3c853cf307165b06e226c9785bf8bf,app/build/intermediates/res/merged/debug/values-v12/values-v12.xml,701,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/34/27/85b90a3c853cf307165b06e226c9785bf8bf,2017-05-28T10:08:20.436Z,2017-05-28T10:08:20.436Z,0
520772,28603398,4214c2afa41ebe68d3eba6922cd178a88e44dcb8,app/build/intermediates/res/merged/debug/values-v11/values-v11.xml,14085,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/42/14/c2afa41ebe68d3eba6922cd178a88e44dcb8,2017-05-28T10:08:20.411Z,2017-05-28T10:08:20.411Z,0
520772,28603397,20fca0a29dfde06617a5873efc6b100f45277f81,app/build/intermediates/res/merged/debug/values-uz-rUZ/values-uz-rUZ.xml,2236,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/20/fc/a0a29dfde06617a5873efc6b100f45277f81,2017-05-28T10:08:20.365Z,2017-05-28T10:08:20.365Z,0
520772,28603396,c33ad9c9cb47ce3dc4ec158d573097ea7ca57765,app/build/intermediates/res/merged/debug/values-ur-rPK/values-ur-rPK.xml,2406,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/c3/3a/d9c9cb47ce3dc4ec158d573097ea7ca57765,2017-05-28T10:08:20.343Z,2017-05-28T10:08:20.343Z,0
520772,28603395,a7bb682559b1bc5388f98f722a13b27abe6e291e,app/build/intermediates/res/merged/debug/values-uk/values-uk.xml,2394,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/a7/bb/682559b1bc5388f98f722a13b27abe6e291e,2017-05-28T10:08:20.320Z,2017-05-28T10:08:20.320Z,0
520772,28603394,82a03530cb0d95b0633c455b1d4a8ce2f5fc17df,app/build/intermediates/res/merged/debug/values-tr/values-tr.xml,2192,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/82/a0/3530cb0d95b0633c455b1d4a8ce2f5fc17df,2017-05-28T10:08:20.282Z,2017-05-28T10:08:20.282Z,0
520772,28603393,08474d70946e84872599ef89c9e22c83194e1ccd,app/build/intermediates/res/merged/debug/values-tl/values-tl.xml,2262,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/08/47/4d70946e84872599ef89c9e22c83194e1ccd,2017-05-28T10:08:20.256Z,2017-05-28T10:08:20.256Z,0
520772,28603392,f17f9c441a81feffd8c6fbdf9954c29e1f8b6f84,app/build/intermediates/res/merged/debug/values-th/values-th.xml,2475,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/f1/7f/9c441a81feffd8c6fbdf9954c29e1f8b6f84,2017-05-28T10:08:20.218Z,2017-05-28T10:08:20.218Z,0
